재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기,전기,전전기
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_AssetsAbstract,자산 [abstract],,,
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_CurrentAssets,유동자산,"65,271,780,626","50,516,392,981","55,272,114,891"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_CashAndCashEquivalents,현금및현금성자산,"17,730,519,850","16,423,119,618","20,775,528,787"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_OtherCurrentFinancialAssets,금융자산,"27,030,000,000","12,030,000,000","11,530,000,000"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_TradeAndOtherCurrentReceivables,매출채권및기타채권,"17,929,953,584","18,753,982,186","18,749,637,619"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_CurrentTaxAssets,당기법인세자산,,"10,514,970",
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,dart_OtherCurrentAssets,기타자산,"1,484,460,692","3,298,776,207","4,216,948,485"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_Inventories,재고자산,"1,096,846,500",,
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_NoncurrentAssets,비유동자산,"49,710,148,598","47,945,026,889","45,065,380,940"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_OtherNoncurrentFinancialAssets,비유동금융자산,"372,462,604","343,593,590","326,808,027"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,dart_LongTermTradeAndOtherNonCurrentReceivablesGross,비유동매출채권및기타채권,"700,490,948","623,336,514","740,439,442"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_InvestmentsInAssociates,관계기업투자주식,,,
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_InvestmentProperty,투자부동산,"3,190,383,218","4,882,716,029","7,035,723,787"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_PropertyPlantAndEquipment,유형자산,"36,809,213,260","36,105,743,996","32,950,610,305"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_IntangibleAssetsOtherThanGoodwill,무형자산,"6,827,621,029","4,972,367,291","3,669,367,146"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_RightofuseAssets,사용권자산,"931,966,889",,
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,dart_OtherNonCurrentAssets,비유동기타자산,,"36,434,754","57,743,813"
"재무상태표, 유동/비유동법-연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2019-12-31,사업보고서,KRW,ifrs-full_DeferredTaxAssets,이연법인세자산,"878,010,650","980,834,715","284,688,420"
