재무제표종류,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,항목명,당기 반기,전기 반기
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동 현금흐름,"-4,360,394,195","-18,473,444,157"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_201932617201647_CashFlowsFromUsedInOperatingActivities,영업으로부터 창출된 현금흐름,"-4,705,329,087","-18,788,365,696"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_201932617591885_udf_CF_201932617201647_CashFlowsFromUsedInOperatingActivities,반기순이익(손실),"-6,338,995,655","-136,288,924"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2019326175932998_udf_CF_201932617201647_CashFlowsFromUsedInOperatingActivities,수익ㆍ비용의 조정,"1,876,727,489","3,083,432,592"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_201932618118845_udf_CF_201932617201647_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 자산ㆍ부채의변동,"-243,060,921","-21,735,509,364"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,"260,050,195","469,987,269"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부,"-84,884,697","155,065,730"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동 현금흐름,"-4,515,625,253","2,068,910,420"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_201932618228372_CashFlowsFromUsedInInvestingActivities,투자활동으로인한 현금유입액,"9,858,200,994","16,000,000,000"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2020810151555564_udf_CF_201932618228372_CashFlowsFromUsedInInvestingActivities,금융자산의 감소,"9,281,647,994","16,000,000,000"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_20198717929992_udf_CF_201932618228372_CashFlowsFromUsedInInvestingActivities,유형자산의 처분,"576,553,000",
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_201932618155795_CashFlowsFromUsedInInvestingActivities,투자활동으로인한 현금유출액,"14,373,826,247","13,931,089,580"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2019326181637566_udf_CF_201932618155795_CashFlowsFromUsedInInvestingActivities,금융자산의 증가,"13,454,492,337","13,007,384,580"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2019326181652181_udf_CF_201932618155795_CashFlowsFromUsedInInvestingActivities,유형자산의 취득,"131,033,910","3,105,000"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2019326181841468_udf_CF_201932618155795_CashFlowsFromUsedInInvestingActivities,무형자산의 취득,"788,300,000","920,600,000"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_CashFlowsFromUsedInFinancingActivities,재무활동 현금흐름,"13,252,987,148","4,765,542,427"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_201932618269972_CashFlowsFromUsedInFinancingActivities,재무활동으로인한 현금유입액,"20,000,000,000","6,070,000,000"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_202081015175626_udf_CF_201932618269972_CashFlowsFromUsedInFinancingActivities,장기차입금의 증가,,"70,000,000"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2021812984064_udf_CF_201932618269972_CashFlowsFromUsedInFinancingActivities,단기차입금의 증가,,"6,000,000,000"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_202151312536415_udf_CF_201932618269972_CashFlowsFromUsedInFinancingActivities,전환사채의 발행,"10,000,000,000",
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_202151312543333_udf_CF_201932618269972_CashFlowsFromUsedInFinancingActivities,신주인수권부사채의 발행,"10,000,000,000",
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2019326183015689_CashFlowsFromUsedInFinancingActivities,재무활동으로인한 현금유출액,"6,747,012,852","1,304,457,573"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2021812911520_udf_CF_2019326183015689_CashFlowsFromUsedInFinancingActivities,단기차입금의 상환,"6,000,000,000",
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2019326183150288_udf_CF_2019326183015689_CashFlowsFromUsedInFinancingActivities,이자의 지급,"673,382,377","204,238,305"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_20218129926504_udf_CF_2019326183015689_CashFlowsFromUsedInFinancingActivities,배당금의 지급,,"953,130,000"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_2019510152041849_udf_CF_2019326183015689_CashFlowsFromUsedInFinancingActivities,리스부채의 지급,"73,630,475","147,089,268"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_IncreaseDecreaseInCashAndCashEquivalents,현금및현금성자산의 순증감,"4,376,967,700","-11,638,991,310"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_CashAndCashEquivalentsAtBeginningOfPeriodCf,기초 현금및현금성자산,"5,895,564,399","17,730,519,850"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00632845_udf_CF_201932212268111_StatementOfCashFlowsAbstract,현금및현금성자산의 환율변동효과,"-216,417","3,540,687"
"현금흐름표, 간접법 - 연결재무제표",[104620],노랑풍선,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_CashAndCashEquivalentsAtEndOfPeriodCf,반기말 현금및현금성자산,"10,272,315,682","6,095,069,227"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,"1,737,492,533","-18,807,110,877"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00261355_udf_CF_20188310598995_CashFlowsFromUsedInOperatingActivities,영업으로부터 창출된 현금,"6,535,737,158","-12,022,663,126"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,"23,966,297","46,348,965"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,"2,542,962,243","2,680,233,761"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부,"2,279,248,679","4,150,562,955"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동으로 인한 현금흐름,"-4,296,349,495","-4,264,278,728"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_ProceedsFromSalesOfShortTermLoansAndReceivables,단기대여금의 회수,"5,454,540","25,454,540"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_DecreaseInLoans,장기대여금의 회수,"30,606,070","23,939,420"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_ProceedsFromSalesOfAvailableForSaleFinancialAssets,기타포괄손익-공정가치 측정 금융자산의 처분,"1,010,000,000",0
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00261355_udf_CF_202153155352185_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치 측정 금융자산의 처분,"1,043,337,190",0
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_DecreaseInGuaranteeDeposits,보증금의 감소,"94,286,420","270,823,394"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_ProceedsFromSalesOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 처분,"77,844","31,858,918"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_PurchaseOfLongTermLoansAndReceivables,장기대여금의 증가,"14,242,430","40,000,000"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_PurchaseOfShortTermFinancialInstruments,단기매매금융상품의 취득,"6,185,582,459",0
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,entity00261355_udf_CF_20193281536986_CashFlowsFromUsedInInvestingActivities,당기손익-공정가치 측정 금융자산의 취득,"90,000,000","210,000,000"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,dart_IncreaseInGuaranteeDeposits,보증금의 증가,"35,610,980","972,700"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,"57,131,690","129,200,727"
"현금흐름표, 간접법 - 연결재무제표",[038390],레드캡투어,코스닥시장상장법인,752,여행사 및 기타 여행보조 서비스업,12,2021-06-30,반기보고서,KRW,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,"97,544,000","3,687,874,683"
